EventLog,RecordNumber,TimeGenerated,TimeWritten,EventID,EventType,EventTypeName,EventCategory,EventCategoryName,SourceName,Strings,ComputerName,SID,Message,Data
C:\Users\justin\projects\DevTechnologies\log.evtx,53,2016-02-06 00:38:44,2016-02-06 00:38:44,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: Bluetooth Radio USB Driver Service File Name: \SystemRoot\system32\DRIVERS\BTHUSB.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,55,2016-02-06 00:38:44,2016-02-06 00:38:44,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: Bluetooth Port Driver Service File Name: \SystemRoot\system32\DRIVERS\BTHport.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,58,2016-02-06 00:38:44,2016-02-06 00:38:44,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: Microsoft Streaming Clock Proxy Service File Name: \SystemRoot\system32\DRIVERS\MSPCLOCK.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,61,2016-02-06 00:38:44,2016-02-06 00:38:44,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: Microsoft Streaming Quality Manager Proxy Service File Name: \SystemRoot\system32\DRIVERS\MSPQM.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,64,2016-02-06 00:38:45,2016-02-06 00:38:45,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: Microsoft Streaming Service Proxy Service File Name: \SystemRoot\system32\DRIVERS\MSKSSRV.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,67,2016-02-06 00:38:45,2016-02-06 00:38:45,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: Microsoft Streaming Tee/Sink-to-Sink Converter Service File Name: \SystemRoot\system32\DRIVERS\MSTEE.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,72,2016-02-06 00:38:45,2016-02-06 00:38:45,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: Microsoft Trusted Audio Drivers Service File Name: \SystemRoot\system32\DRIVERS\drmkaud.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,75,2016-02-06 00:38:46,2016-02-06 00:38:46,7045,4,Information event,0,None,Service Control Manager,,MINWINPC,S-1-5-18,A service was installed in the system. Service Name: USB Video Device (WDM) Service File Name: \SystemRoot\System32\Drivers\usbvideo.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,78,2016-02-06 00:38:48,2016-02-06 00:38:48,3,2,Warning event,0,None,BTHUSB,,MINWINPC,,A command sent to the adapter has timed out. The adapter did not respond. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,79,2016-02-06 00:38:52,2016-02-06 00:38:52,3,2,Warning event,0,None,BTHUSB,,MINWINPC,,A command sent to the adapter has timed out. The adapter did not respond. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,80,2016-02-06 00:38:52,2016-02-06 00:38:52,17,1,Error event,0,None,BTHUSB,,MINWINPC,,The local Bluetooth adapter has failed in an undetermined manner and will not be used. The driver has been unloaded. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,86,2016-02-06 00:39:26,2016-02-06 00:39:26,6006,4,Information event,0,None,EventLog,,MINWINPC,,The Event log service was stopped. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,89,2016-02-06 00:39:26,2016-02-06 00:39:26,1074,4,Information event,0,None,User32,,MINWINPC,S-1-5-18,The process C:\Windows\system32\winlogon.exe (MINWINPC) has initiated the restart of computer WIN-JHPII7JSFQ6 on behalf of user NT AUTHORITY\SYSTEM for the following reason: Operating System: Upgrade (Planned) Reason Code: 0x80020003 Shutdown Type: restart Comment: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,91,2016-02-06 00:39:46,2016-02-06 00:39:46,6011,4,Information event,0,None,EventLog,,DESKTOP-30SC6CU,,The NetBIOS name and DNS host name of this machine have been changed from WIN-JHPII7JSFQ6 to DESKTOP-30SC6CU. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,92,2016-02-06 00:39:46,2016-02-06 00:39:46,6009,4,Information event,0,None,EventLog,,DESKTOP-30SC6CU,,Microsoft (R) Windows (R) 10.00. 10586 Multiprocessor Free. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,93,2016-02-06 00:39:46,2016-02-06 00:39:46,6005,4,Information event,0,None,EventLog,,DESKTOP-30SC6CU,,The Event log service was started. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,94,2016-02-06 00:39:46,2016-02-06 00:39:46,6013,4,Information event,0,None,EventLog,,DESKTOP-30SC6CU,,The system uptime is 11 seconds. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,95,2016-02-06 00:39:26,2016-02-06 00:39:26,4001,4,Information event,0,None,Microsoft-Windows-WLAN-AutoConfig,,DESKTOP-30SC6CU,S-1-5-18,WLAN AutoConfig service has successfully stopped. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,116,2016-02-06 00:39:43,2016-02-06 00:39:43,3,2,Warning event,0,None,BTHUSB,,DESKTOP-30SC6CU,,A command sent to the adapter has timed out. The adapter did not respond. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,117,2016-02-06 00:39:47,2016-02-06 00:39:47,1,4,Information event,0,None,Lfsvc,,DESKTOP-30SC6CU,,Geolocation positioning is enabled. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,118,2016-02-06 00:39:46,2016-02-06 00:39:46,4000,4,Information event,0,None,Microsoft-Windows-WLAN-AutoConfig,,DESKTOP-30SC6CU,S-1-5-18,WLAN AutoConfig service has successfully started. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,119,2016-02-06 00:39:47,2016-02-06 00:39:47,158,4,Information event,0,None,Microsoft-Windows-Time-Service,,DESKTOP-30SC6CU,S-1-5-19,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,123,2016-02-06 00:39:47,2016-02-06 00:39:47,134,2,Warning event,0,None,Microsoft-Windows-Time-Service,,DESKTOP-30SC6CU,S-1-5-19,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9) ",
C:\Users\justin\projects\DevTechnologies\log.evtx,125,2016-02-06 00:39:47,2016-02-06 00:39:47,3,2,Warning event,0,None,BTHUSB,,DESKTOP-30SC6CU,,A command sent to the adapter has timed out. The adapter did not respond. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,126,2016-02-06 00:39:47,2016-02-06 00:39:47,17,1,Error event,0,None,BTHUSB,,DESKTOP-30SC6CU,,The local Bluetooth adapter has failed in an undetermined manner and will not be used. The driver has been unloaded. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,128,2016-02-06 00:39:48,2016-02-06 00:39:48,134,2,Warning event,0,None,Microsoft-Windows-Time-Service,,DESKTOP-30SC6CU,S-1-5-19,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9) ",
C:\Users\justin\projects\DevTechnologies\log.evtx,129,2016-02-06 00:39:49,2016-02-06 00:39:49,7026,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,,The following boot-start or system-start driver(s) did not load: cdrom dam ,
C:\Users\justin\projects\DevTechnologies\log.evtx,130,2016-02-06 00:39:55,2016-02-06 00:39:55,7040,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,The start type of the Windows Modules Installer service was changed from auto start to demand start. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,132,2016-02-06 00:40:10,2016-02-06 00:40:10,37,4,Information event,0,None,Microsoft-Windows-Time-Service,,DESKTOP-30SC6CU,S-1-5-19,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->191.233.81.105:123). ",
C:\Users\justin\projects\DevTechnologies\log.evtx,133,2016-02-06 00:40:10,2016-02-06 00:40:10,7045,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,A service was installed in the system. Service Name: Microsoft Tunnel Miniport Adapter Driver Service File Name: \SystemRoot\System32\drivers\tunnel.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,135,2016-02-06 00:40:11,2016-02-06 00:40:11,37,4,Information event,0,None,Microsoft-Windows-Time-Service,,DESKTOP-30SC6CU,S-1-5-19,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->191.233.81.105:123). ",
C:\Users\justin\projects\DevTechnologies\log.evtx,137,2016-02-05 21:40:22,2016-02-05 21:40:22,35,4,Information event,0,None,Microsoft-Windows-Time-Service,,DESKTOP-30SC6CU,S-1-5-19,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->191.233.81.105:123). ",
C:\Users\justin\projects\DevTechnologies\log.evtx,142,2016-02-05 21:40:27,2016-02-05 21:40:27,7045,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,A service was installed in the system. Service Name: Printer Extensions and Notifications Service File Name: %SystemRoot%\system32\svchost.exe -k print Service Type: user mode service Service Start Type: demand start Service Account: LocalSystem ,
C:\Users\justin\projects\DevTechnologies\log.evtx,143,2016-02-05 21:40:27,2016-02-05 21:40:27,7030,1,Error event,0,None,Service Control Manager,,DESKTOP-30SC6CU,,"The Printer Extensions and Notifications service is marked as an interactive service. However, the system is configured to not allow interactive services. This service may not function properly. ",
C:\Users\justin\projects\DevTechnologies\log.evtx,144,2016-02-05 21:40:29,2016-02-05 21:40:29,1281,4,Information event,0,None,Microsoft-Windows-TPM-WMI,,DESKTOP-30SC6CU,S-1-5-18,This event triggers the TBS device identifier generation. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,145,2016-02-05 21:40:34,2016-02-05 21:40:34,7040,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,147,2016-02-05 21:40:34,2016-02-05 21:40:34,7040,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,The start type of the Windows Modules Installer service was changed from demand start to auto start. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,149,2016-02-05 21:40:35,2016-02-05 21:40:35,7040,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,The start type of the Windows Modules Installer service was changed from auto start to demand start. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,151,2016-02-05 21:40:39,2016-02-05 21:40:39,7040,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,The start type of the Windows Modules Installer service was changed from demand start to auto start. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,155,2016-02-05 21:41:25,2016-02-05 21:41:25,1074,4,Information event,0,None,User32,,DESKTOP-30SC6CU,S-1-5-18,The process C:\Windows\system32\winlogon.exe (WIN-JHPII7JSFQ6) has initiated the restart of computer DESKTOP-30SC6CU on behalf of user NT AUTHORITY\SYSTEM for the following reason: Operating System: Upgrade (Planned) Reason Code: 0x80020003 Shutdown Type: restart Comment: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,156,2016-02-05 21:41:25,2016-02-05 21:41:25,1282,4,Information event,0,None,Microsoft-Windows-TPM-WMI,,DESKTOP-30SC6CU,S-1-5-18,The TBS device identifier has been generated. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,157,2016-02-05 21:41:28,2016-02-05 21:41:28,6006,4,Information event,0,None,EventLog,,DESKTOP-30SC6CU,,The Event log service was stopped. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,160,2016-02-05 21:41:47,2016-02-05 21:41:47,6009,4,Information event,0,None,EventLog,,DESKTOP-30SC6CU,,Microsoft (R) Windows (R) 10.00. 10586 Multiprocessor Free. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,161,2016-02-05 21:41:47,2016-02-05 21:41:47,6005,4,Information event,0,None,EventLog,,DESKTOP-30SC6CU,,The Event log service was started. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,162,2016-02-05 21:41:47,2016-02-05 21:41:47,6013,4,Information event,0,None,EventLog,,DESKTOP-30SC6CU,,The system uptime is 8 seconds. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,163,2016-02-05 21:41:47,2016-02-05 21:41:47,2,4,Information event,0,None,Lfsvc,,DESKTOP-30SC6CU,,Geolocation positioning has been disabled by the user. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,164,2016-02-05 21:41:28,2016-02-05 21:41:28,4001,4,Information event,0,None,Microsoft-Windows-WLAN-AutoConfig,,DESKTOP-30SC6CU,S-1-5-18,WLAN AutoConfig service has successfully stopped. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,192,2016-02-05 21:41:46,2016-02-05 21:41:46,3,2,Warning event,0,None,BTHUSB,,DESKTOP-30SC6CU,,A command sent to the adapter has timed out. The adapter did not respond. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,198,2016-02-05 21:41:47,2016-02-05 21:41:47,4000,4,Information event,0,None,Microsoft-Windows-WLAN-AutoConfig,,DESKTOP-30SC6CU,S-1-5-18,WLAN AutoConfig service has successfully started. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,200,2016-02-05 21:41:48,2016-02-05 21:41:48,7026,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,,The following boot-start or system-start driver(s) did not load: cdrom dam ,
C:\Users\justin\projects\DevTechnologies\log.evtx,203,2016-02-05 21:41:50,2016-02-05 21:41:50,3,2,Warning event,0,None,BTHUSB,,DESKTOP-30SC6CU,,A command sent to the adapter has timed out. The adapter did not respond. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,204,2016-02-05 21:41:50,2016-02-05 21:41:50,17,1,Error event,0,None,BTHUSB,,DESKTOP-30SC6CU,,The local Bluetooth adapter has failed in an undetermined manner and will not be used. The driver has been unloaded. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,205,2016-02-05 21:41:50,2016-02-05 21:41:50,7040,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,The start type of the Windows Modules Installer service was changed from auto start to demand start. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,206,2016-02-05 21:41:50,2016-02-05 21:41:50,1500,4,Information event,0,None,Microsoft-Windows-GroupPolicy,,DESKTOP-30SC6CU,S-1-5-18,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,210,2016-02-05 21:41:51,2016-02-05 21:41:51,1501,4,Information event,0,None,Microsoft-Windows-GroupPolicy,,DESKTOP-30SC6CU,S-1-5-21-1787364193-1598794461-1605341261-1000,The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,219,2016-02-05 21:43:18,2016-02-05 21:43:18,1501,4,Information event,0,None,Microsoft-Windows-GroupPolicy,,DESKTOP-30SC6CU,S-1-5-21-1787364193-1598794461-1605341261-1001,The Group Policy settings for the user were processed successfully. There were no changes detected since the last successful processing of Group Policy. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,281,2016-02-05 21:47:20,2016-02-05 21:47:20,7045,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,A service was installed in the system. Service Name: igfx Service File Name: \SystemRoot\system32\DRIVERS\igdkmd64.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,284,2016-02-05 21:47:26,2016-02-05 21:47:26,4115,2,Warning event,0,None,Display,,DESKTOP-30SC6CU,,Display driver failed to start; using Microsoft Basic Display Driver instead. Check Windows Update for a newer display driver. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,285,2016-02-05 21:47:31,2016-02-05 21:47:31,7045,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,A service was installed in the system. Service Name: Intel(R) Display Audio Service File Name: \SystemRoot\system32\DRIVERS\IntcDAud.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,289,2016-02-05 21:47:41,2016-02-05 21:47:41,7031,1,Error event,0,None,Service Control Manager,,DESKTOP-30SC6CU,,The Sync Host_7ebba service terminated unexpectedly. It has done this 1 time(s). The following corrective action will be taken in 10000 milliseconds: Restart the service. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,290,2016-02-05 21:47:47,2016-02-05 21:47:47,6006,4,Information event,0,None,EventLog,,DESKTOP-30SC6CU,,The Event log service was stopped. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,291,2016-02-05 21:47:47,2016-02-05 21:47:47,1074,4,Information event,0,None,User32,,DESKTOP-30SC6CU,S-1-5-21-1787364193-1598794461-1605341261-1001,The process C:\Windows\system32\winlogon.exe (DESKTOP-30SC6CU) has initiated the restart of computer DESKTOP-30SC6CU on behalf of user DESKTOP-30SC6CU\justin for the following reason: No title for this reason could be found Reason Code: 0x500ff Shutdown Type: restart Comment: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,295,2016-02-05 21:48:07,2016-02-05 21:48:07,6009,4,Information event,0,None,EventLog,,DESKTOP-30SC6CU,,Microsoft (R) Windows (R) 10.00. 10586 Multiprocessor Free. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,296,2016-02-05 21:48:07,2016-02-05 21:48:07,6005,4,Information event,0,None,EventLog,,DESKTOP-30SC6CU,,The Event log service was started. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,297,2016-02-05 21:48:07,2016-02-05 21:48:07,6013,4,Information event,0,None,EventLog,,DESKTOP-30SC6CU,,The system uptime is 6 seconds. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,298,2016-02-05 21:48:07,2016-02-05 21:48:07,2,4,Information event,0,None,Lfsvc,,DESKTOP-30SC6CU,,Geolocation positioning has been disabled by the user. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,299,2016-02-05 21:47:48,2016-02-05 21:47:48,4001,4,Information event,0,None,Microsoft-Windows-WLAN-AutoConfig,,DESKTOP-30SC6CU,S-1-5-18,WLAN AutoConfig service has successfully stopped. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,324,2016-02-05 21:48:08,2016-02-05 21:48:08,4000,4,Information event,0,None,Microsoft-Windows-WLAN-AutoConfig,,DESKTOP-30SC6CU,S-1-5-18,WLAN AutoConfig service has successfully started. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,325,2016-02-05 21:48:08,2016-02-05 21:48:08,7026,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,,The following boot-start or system-start driver(s) did not load: cdrom dam ,
C:\Users\justin\projects\DevTechnologies\log.evtx,326,2016-02-05 21:48:09,2016-02-05 21:48:09,3,2,Warning event,0,None,BTHUSB,,DESKTOP-30SC6CU,,A command sent to the adapter has timed out. The adapter did not respond. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,328,2016-02-05 21:48:10,2016-02-05 21:48:10,4115,2,Warning event,0,None,Display,,DESKTOP-30SC6CU,,Display driver failed to start; using Microsoft Basic Display Driver instead. Check Windows Update for a newer display driver. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,330,2016-02-05 21:48:13,2016-02-05 21:48:13,3,2,Warning event,0,None,BTHUSB,,DESKTOP-30SC6CU,,A command sent to the adapter has timed out. The adapter did not respond. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,331,2016-02-05 21:48:13,2016-02-05 21:48:13,17,1,Error event,0,None,BTHUSB,,DESKTOP-30SC6CU,,The local Bluetooth adapter has failed in an undetermined manner and will not be used. The driver has been unloaded. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,349,2016-02-05 21:49:51,2016-02-05 21:49:51,7045,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,A service was installed in the system. Service Name: nvlddmkm Service File Name: \SystemRoot\system32\DRIVERS\nvlddmkm.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,350,2016-02-05 21:49:51,2016-02-05 21:49:51,7045,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,A service was installed in the system. Service Name: nvpciflt Service File Name: system32\DRIVERS\nvpciflt.sys Service Type: kernel mode driver Service Start Type: boot start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,367,2016-02-05 21:50:10,2016-02-05 21:50:10,7040,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,The start type of the Windows Modules Installer service was changed from demand start to auto start. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,369,2016-02-05 21:50:11,2016-02-05 21:50:11,7040,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,The start type of the Windows Modules Installer service was changed from auto start to demand start. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,371,2016-02-05 21:50:25,2016-02-05 21:50:25,7040,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,The start type of the Windows Modules Installer service was changed from demand start to auto start. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,372,2016-02-05 21:50:25,2016-02-05 21:50:25,7040,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,The start type of the Windows Modules Installer service was changed from auto start to demand start. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,376,2016-02-05 21:51:05,2016-02-05 21:51:05,7045,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,A service was installed in the system. Service Name: Intel(R) Management Engine Interface Service File Name: \SystemRoot\System32\drivers\TeeDriverW8x64.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,377,2016-02-05 21:51:05,2016-02-05 21:51:05,2,4,Information event,0,None,MEIx64,,DESKTOP-30SC6CU,,Intel(R) Management Engine Interface driver has started successfully. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,379,2016-02-05 21:51:11,2016-02-05 21:51:11,7045,4,Information event,0,None,Service Control Manager,,DESKTOP-30SC6CU,S-1-5-18,A service was installed in the system. Service Name: BtFilter Service File Name: \SystemRoot\system32\DRIVERS\btfilter.sys Service Type: kernel mode driver Service Start Type: demand start Service Account: ,
C:\Users\justin\projects\DevTechnologies\log.evtx,384,2016-02-05 21:51:13,2016-02-05 21:51:13,17,1,Error event,0,None,BTHUSB,,DESKTOP-30SC6CU,,The local Bluetooth adapter has failed in an undetermined manner and will not be used. The driver has been unloaded. ,
C:\Users\justin\projects\DevTechnologies\log.evtx,386,2016-02-05 21:51:13,2016-02-05 21:51:13,18,4,Information event,0,None,BTHUSB,,DESKTOP-30SC6CU,,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup. ,
